`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:23<01:35, 23.85s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:43<01:04, 21.35s/it]Loading checkpoint shards:  60%|██████    | 3/5 [01:02<00:40, 20.14s/it]Loading checkpoint shards:  80%|████████  | 4/5 [01:18<00:18, 18.64s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 14.52s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 17.14s/it]
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
The new lm_head weights will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
[train] epoch=0 step=0 loss=0.1855 i2t_avg=0.1855 emb_norm_mean=1.6094 emb_norm_std=1.0234 head_norm_mean=0.3809 head_norm_std=0.0194
[train] epoch=0 step=50 loss=0.1420 a2t_avg=0.1437 i2t_avg=0.1603 emb_norm_mean=1.6094 emb_norm_std=1.0234 head_norm_mean=0.3809 head_norm_std=0.0195
[train] epoch=0 step=100 loss=0.1423 a2t_avg=0.1440 i2t_avg=0.1527 emb_norm_mean=1.6094 emb_norm_std=1.0234 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=150 loss=0.0690 a2t_avg=0.1409 i2t_avg=0.1546 emb_norm_mean=1.6094 emb_norm_std=1.0234 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=200 loss=0.1481 a2t_avg=0.1439 i2t_avg=0.1487 emb_norm_mean=1.6172 emb_norm_std=1.0234 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=250 loss=0.1484 a2t_avg=0.1412 i2t_avg=0.1485 emb_norm_mean=1.6172 emb_norm_std=1.0312 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=300 loss=0.1837 a2t_avg=0.1399 i2t_avg=0.1474 emb_norm_mean=1.6172 emb_norm_std=1.0312 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=350 loss=0.1288 a2t_avg=0.1395 i2t_avg=0.1475 emb_norm_mean=1.6172 emb_norm_std=1.0312 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=400 loss=0.1373 a2t_avg=0.1376 i2t_avg=0.1491 emb_norm_mean=1.6172 emb_norm_std=1.0312 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=450 loss=0.1742 a2t_avg=0.1382 i2t_avg=0.1482 emb_norm_mean=1.6172 emb_norm_std=1.0312 head_norm_mean=0.3809 head_norm_std=0.0197
[train] epoch=0 step=500 loss=0.0986 a2t_avg=0.1381 i2t_avg=0.1480 emb_norm_mean=1.6172 emb_norm_std=1.0312 head_norm_mean=0.3809 head_norm_std=0.0197
